Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude,Category
Ray Chen in Recital,2025-09-08,12:00,Hamer Hall,"100 St Kilda Rd, Southbank VIC 3004, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=RAYCHEN25,-37.8201455,144.9679946,
Critical Thinking Training,2025-09-09,07:30,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/critical-thinking-training-tickets-886595008537?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
Mayday Parade // Melbourne // MCA // with Jack's Mannequin & The Home Team ,2025-09-12,18:00,Margaret Court Arena,"Olympic Blvd, Melbourne VIC 3001, Australia",https://www.facebook.com/events/3838058729838509/,-37.82305598,144.97619022672723,Music
Introduction to Mindfulness and Meditation Workshop,2025-09-13,11:30,Seabrook Community Centre,"15 Truganina Avenue Seabrook, VIC 3028",https://www.eventbrite.com.au/e/introduction-to-mindfulness-and-meditation-workshop-tickets-1116233567649?aff=ebdssbdestsearch,-37.8860408,144.7590902,Talks/Workshops
Jody Wisternoff (Anjunadeep) - Welcome To My World Album Tour - Melbourne,2025-09-13,19:00,Howler,"7-11 Dawson Street Brunswick, VIC 3056",https://www.eventbrite.com/e/jody-wisternoff-anjunadeep-welcome-to-my-world-album-tour-melbourne-tickets-1048546499807?aff=ebdssbdestsearch,-37.771511,144.959539,Music
LeAnn Rimes,2025-09-16,12:00,John Cain Arena,"35 Olympic Blvd, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=LEANN25,-37.8227725,144.9819687,
Animals As Leaders,2025-09-18,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=ALEADERS25,-37.8166268,144.9695761,
Giving Employee Feedback With Precision (Melbourne),2025-09-19,09:00,Karstens Melbourne,"123 Queen St, Melbourne VIC 3000, Australia 123 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/giving-employee-feedback-with-precision-melbourne-tickets-1116112776359?aff=ebdssbdestsearch,-37.8157528,144.9607103,Talks/Workshops
The Mary Wallopers,2025-09-19,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=MARYWALL25,-37.8166268,144.9695761,
Kate Ceberano,2025-09-19,12:00,Hamer Hall,"32 Southgate Ave, Southbank VIC 3006, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=KATECMEL25,-37.8201455,144.9679946,
Shamrock Tenors,2025-09-21,12:00,Hamer Hall,"32 Southgate Ave, Southbank VIC 3006, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=SHAMROCK25,-37.8201455,144.9679946,
Wunderhorse,2025-09-23,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=WHORSE25,-37.8166268,144.9695761,
Anastacia,2025-09-24,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=ANASNTK25,-37.8166268,144.9695761,
SWIM (live),2025-09-25,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=SWIM25,-37.8166268,144.9695761,
DIVORCED DAD (AND MUM) ROCK NIGHT #3,2025-09-26,22:00,EMO NEVER SLEEPS,"629 Bourke St, Melbourne VIC 3004, Australia",https://www.facebook.com/events/1045574704114791/,-37.8167994,144.9552063,Music
Township Rebellion | Winter Series pres by. Thick as Thieves,2025-09-28,00:00,Revolver Upstairs,"Level 2/229 Chapel St, Prahran VIC 3181, Australia",https://www.facebook.com/events/943475734297809/,-37.8505902,144.9933469,Music
Email Etiquette and Response Writing Training,2025-10-03,13:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/email-etiquette-and-response-writing-training-tickets-886602230137?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
Melbourne Ska Orchestra: The Ballad of Monte Loco Tour // MELBOURNE,2025-10-03,20:00,170 Russell,"170 Russell St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/1750183082227543/,-37.8120109,144.9679369,Music
Jackson Dean,2025-10-05,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=JACKSOND25,-37.8166268,144.9695761,
Marcia Sings Summer,2025-10-05,12:00,Hamer Hall,"32 Southgate Ave, Southbank VIC 3006, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=MARCIASI25,-37.8201455,144.9679946,
Zac Brown Band,2025-10-06,12:00,Margaret Court Arena,"5XHH+G3 Melbourne VIC, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=ZACBROWN25,-37.8211276,144.9776364,
Growth Mindset :Learning and Growth for Teams,2025-10-07,08:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/growth-mindset-learning-and-growth-for-teams-tickets-886604647367?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
